,Unnamed: 0,fideid,name,country,sex,title,rating,birthday,image,race,api,black,hispanic,white
1926,1926,937517,Lazar Nestorovic,SRB,M,IM,2381,1993.0,True,white,0.003776808,0.005325536,0.021037098,0.96986055
1927,1927,13602284,Malkhaz Sulashvili,GEO,M,IM,2381,1986.0,True,white,0.39962575,0.0065253563,0.02894323,0.5649057
1928,1928,405094,Jovanka Houska,ENG,F,IM,2381,1980.0,True,white,0.0020024101,0.0010093016,0.010096737,0.98689157
1929,1929,4676386,Lars Stark,GER,M,IM,2381,1983.0,True,white,0.0016641644,0.02026999,0.011272059,0.96679384
1930,1930,4120930,Andrei Borisenko,RUS,M,IM,2381,1963.0,True,white,0.006286344,0.0007170991,0.012594625,0.98040193
1931,1931,900605,Vladimir Raicevic,SRB,M,GM,2381,1949.0,True,white,0.0037076687,0.0033216951,0.015721852,0.9772488
1932,1932,4120876,Irina Turova,RUS,F,IM,2381,1979.0,True,white,0.06753746,0.010088434,0.44048566,0.48188844
1933,1933,4139739,Evgeni Krasilnikov,RUS,M,FM,2381,1981.0,True,white,0.0010857119,0.0011336002,0.012581668,0.98519903
1934,1934,412120,David J Eggleston,ENG,M,IM,2381,1987.0,True,white,0.0028002763,0.01064174,0.010342943,0.97621506
1935,1935,1516647,Tor Fredrik Kaasen,NOR,M,IM,2381,2002.0,True,white,0.014565373,0.0012356262,0.023175389,0.9610236
1936,1936,903922,Slavisa Marinkovic,SRB,M,IM,2381,1967.0,True,white,0.0067118076,0.010308285,0.016096529,0.9668834
1937,1937,14601060,Primoz Soln,SLO,M,IM,2381,1978.0,True,white,0.015097731,0.2196483,0.015568378,0.7496855
1938,1938,1002996,Theo Hommeles,NED,M,IM,2381,1961.0,True,white,0.012666495,0.1885334,0.007521939,0.7912782
1939,1939,241725,Sim Maerevoet,BEL,M,FM,2381,2001.0,True,white,0.01308812,0.0040151584,0.08775986,0.8951369
1940,1940,901792,Goran Arsovic,SRB,M,IM,2381,1967.0,True,white,0.0019021677,0.0074075363,0.024587423,0.96610284
1941,1941,5500796,Amir Zaibi,TUN,M,GM,2381,1988.0,True,white,0.03540365,0.0020212184,0.039186083,0.923389
1942,1942,409219,Lorin D`Costa,ENG,M,IM,2381,1984.0,True,white,0.032857396,0.007714948,0.08958016,0.86984754
1943,1943,13600168,Ketevan Arakhamia-Grant,SCO,F,GM,2380,1968.0,True,api,0.5021515,0.22706476,0.016121637,0.2546622
1944,1944,14500671,Branimir Jukic,CRO,M,IM,2380,1971.0,True,white,0.015374691,0.009966331,0.009923684,0.9647353
1945,1945,4119827,Svetlana Matveeva,RUS,F,IM,2380,1969.0,True,white,0.005795516,0.005446178,0.007935229,0.9808231
1946,1946,34184934,Gleb Dudin,RUS,M,FM,2380,2004.0,True,white,0.0049069994,0.15119502,0.02452323,0.81937474
1947,1947,3512991,Alfredo R. Aguilera Rodriguez,CUB,M,FM,2380,1993.0,True,hispanic,0.012372664,0.007566104,0.92074656,0.059314728
1948,1948,724270,Armin Juhasz,HUN,M,IM,2380,1998.0,True,white,0.00013472527,0.00064002495,0.010594124,0.98863107
1949,1949,24159565,Iljya Grigorjev,RUS,M,FM,2380,2001.0,True,white,0.10377786,0.04716298,0.09115871,0.7579004
1950,1950,100200,Fabian Fiorito,ARG,M,IM,2380,1969.0,True,white,0.011917042,0.0058244704,0.023754355,0.95850414
1951,1951,3514803,Jorge Leon Oquendo,CUB,M,FM,2380,1994.0,True,hispanic,0.008318317,0.0025353748,0.9109515,0.07819473
1952,1952,13601261,Nikoloz Shavtvaladze,GEO,M,IM,2380,1983.0,True,white,0.00865963,0.0016417417,0.022945696,0.96675295
1953,1953,4141997,Vladimir Zimin,RUS,M,IM,2380,1971.0,True,white,0.009609302,0.009505479,0.014103318,0.9667819
1954,1954,2601494,Rodulfo Alipayo,CAN,M,FM,2380,,True,hispanic,0.04286097,0.0063299253,0.80205435,0.14875475
1955,1955,931314,Marko Krivokapic,MNE,M,IM,2380,1985.0,True,white,0.013552775,0.008284436,0.009130818,0.96903193
1956,1956,4131746,Sergey Mirovshchikov,RUS,M,,2380,1971.0,True,white,0.00036740408,0.0014825983,0.0058271256,0.9923228
1957,1957,3301478,Jose Daniel Gemy,BOL,M,IM,2380,1992.0,True,white,0.0033340866,0.10389738,0.022598943,0.8701696
1958,1958,235555,Afrim Ismaili,BEL,M,FM,2380,1985.0,True,white,0.25855035,0.003952295,0.016039329,0.7214581
1959,1959,201324,Geert Van der Stricht,BEL,M,IM,2380,1972.0,True,white,0.00230547,0.017641313,0.014955797,0.96509737
1960,1960,4103009,Vladislav V Vorotnikov,RUS,M,GM,2380,1947.0,True,white,0.0044252877,0.0038071133,0.013884256,0.97788334
1961,1961,4146271,Alexey Paveliev,RUS,M,IM,2379,1986.0,True,white,0.008753047,0.015332373,0.019181674,0.95673287
1962,1962,12501468,Sayed Arash Akbarinia,IRI,M,FM,2379,1986.0,True,api,0.9149266,0.025941132,0.0052770907,0.05385515
1963,1963,3504190,Lisandro Fernandez Reyes,ECU,M,IM,2379,1983.0,True,white,0.14919233,0.020460343,0.35451892,0.47582832
1964,1964,24154385,Alexey Kovalchuk,RUS,M,FM,2379,1994.0,True,white,0.004376464,0.0016122214,0.022735853,0.97127545
1965,1965,717444,Ticia Gara,HUN,F,WGM,2379,1984.0,True,white,0.026709864,0.004675272,0.32540122,0.6432136
1966,1966,14508141,Marko Makaj,CRO,M,FM,2379,1983.0,True,white,0.0074612647,0.028980494,0.0070270225,0.9565313
1967,1967,3512673,Abel Fabian Lopez Gonzalez,CUB,M,IM,2379,1997.0,True,hispanic,0.0057356344,0.003801054,0.9385476,0.051915668
