UID,URL,Name,Score,image,gender
10064248,https://data.fei.org/Person/Performance.aspx?p=76FFEC45394AF19909A757D1C8755830,Andrew Kocher,1593,True,Male
10096264,https://data.fei.org/Person/Performance.aspx?p=91A55D564317BA3BEAC8AFD684243B3B,Michael Pender,1585,True,Male
10021487,https://data.fei.org/Person/Performance.aspx?p=818FBFA850B8D36B7CCF45EE23BF3502,David Blake,1558,True,Male
10018997,https://data.fei.org/Person/Performance.aspx?p=EFBF3A5AEB91B4EABD50897069198F64,Patrick Stühlmeyer,1555,True,Male
10003080,https://data.fei.org/Person/Performance.aspx?p=104AAF2E2EC3324BA9FBCF3BC03BA86,Willem Greve,1555,True,Male
10002657,https://data.fei.org/Person/Performance.aspx?p=48869B357014C60D547B20363519A158,Roberto Turchetto,1555,True,Male
10001238,https://data.fei.org/Person/Performance.aspx?p=5F9050064ECD2227C68BB6214AF6BB0C,Erynn Ballard,1553,True,Female
10079018,https://data.fei.org/Person/Performance.aspx?p=BB5B1A916D848A49515ED381CCDB697E,Lillie Keenan,1553,True,Female
10000530,https://data.fei.org/Person/Performance.aspx?p=90892710306B7A51DAA671AD7C9D456,Santiago Lambre,1550,True,Male
10028092,https://data.fei.org/Person/Performance.aspx?p=5CF24437790C8FE29CE40CC92C792532,Richard Howley,1550,True,Male
10058729,https://data.fei.org/Person/Performance.aspx?p=1B367152A7A4B912237F8697E937B2BC,Rodrigo Giesteira Almeida,1550,True,Male
10040081,https://data.fei.org/Person/Performance.aspx?p=8B8029C27C2ABFBCC27B4650485C01EB,Kristaps Neretnieks,1550,True,Male
10002265,https://data.fei.org/Person/Performance.aspx?p=48A59DCC489C467D4263D353ACBA40CD,Max Thirouin,1535,True,Male
10055979,https://data.fei.org/Person/Performance.aspx?p=5B9FC812D0588BD2CA801BD6D8E438D,Titouan Schumacher,1525,True,Male
10024724,https://data.fei.org/Person/Performance.aspx?p=5D46B038F9B443748BBAA8CA6DB66416,Filippo Marco Bologni,1525,True,Male
10078930,https://data.fei.org/Person/Performance.aspx?p=CC9DAD12EE402C9EA5A3534CA281F2C,Lucas Porter,1525,True,Male
10088263,https://data.fei.org/Person/Performance.aspx?p=9A9181D20F2016894868FE5718ABB216,Spencer Smith,1523,True,Male
10000478,https://data.fei.org/Person/Performance.aspx?p=287E8A046064DAB914CFB2FACC4225F,Enrique Gonzalez,1520,True,Male
10007927,https://data.fei.org/Person/Performance.aspx?p=5D19DD01D71B007980F6924133472A34,Sergio Alvarez Moya,1515,True,Male
10013788,https://data.fei.org/Person/Performance.aspx?p=AFBA01F52B6845B15EC7825D40F246CB,Francisco Pasquel,1510,True,Male
10006575,https://data.fei.org/Person/Performance.aspx?p=41E4F7767D074E0D90A240CE1E5191A9,Paola Amilibia,1495,True,Female
10011409,https://data.fei.org/Person/Performance.aspx?p=E8B3CA918C7610D095959B997F796ABC,Geir Gulliksen,1485,True,Male
10046801,https://data.fei.org/Person/Performance.aspx?p=E4D6FA397DA9E1BE258649B8A01CD4E7,Eugenio Garza Perez,1478,True,Male
10006408,https://data.fei.org/Person/Performance.aspx?p=76EB38040B3E874AA9F0946C36F52ED2,Charlotte Bettendorf,1475,True,Female
10002137,https://data.fei.org/Person/Performance.aspx?p=9D73060F24C77799F2606045F8915756,Marco Kutscher,1468,True,Male
10095117,https://data.fei.org/Person/Performance.aspx?p=C3460D1166BAD468F0904B9148F3ADB6,Arturo Parada Vallejo,1460,True,Male
10068986,https://data.fei.org/Person/Performance.aspx?p=CF9AF838FEEED70AA076D7004B7F55D6,Catherine Tyree,1455,True,Female
10106120,https://data.fei.org/Person/Performance.aspx?p=F6AB0EF75B5DF153FB7F4B9B19CB8E2A,Eve Jobs,1450,True,Female
10001360,https://data.fei.org/Person/Performance.aspx?p=52B2ACBA07746DE219225A7FB1280683,Francois Jr Mathy,1445,True,Male
10009262,https://data.fei.org/Person/Performance.aspx?p=C3A76B5E94F750BD01BB9FE27699D1B5,Salvador Oñate,1445,True,Male
10008681,https://data.fei.org/Person/Performance.aspx?p=42F0C00D41D73BFF0947DD2268FC29D7,Marc Dilasser,1445,True,Male
10069119,https://data.fei.org/Person/Performance.aspx?p=9E7D6B03EF5A99A8D3B1FB2B86D92716,Amre Hamcho,1443,True,Male
10002006,https://data.fei.org/Person/Performance.aspx?p=C08777C3C5ECFD4BA58794556EC2C4D0,Leopold Van Asten,1440,True,Male
10000419,https://data.fei.org/Person/Performance.aspx?p=DDD7F21E8B2B0D610DFCC67868FC810,Ludger Beerbaum,1438,True,Male
10001629,https://data.fei.org/Person/Performance.aspx?p=380FDA51143454B79F6286AB4DA39A39,Ibrahim Hani Bisharat,1435,True,Male
10103688,https://data.fei.org/Person/Performance.aspx?p=F1106FD93DC9ECF61FA04D06AC6E59BA,Emily Moffitt,1435,True,Female
10000408,https://data.fei.org/Person/Performance.aspx?p=393A4783E490227D383F0AEF8C51EF9B,Malin Baryard-Johnsson,1430,True,Female
10010648,https://data.fei.org/Person/Performance.aspx?p=CF9AD863F06AB9FF7D4863EFAEE578AA,Wojciech Wojcianiec,1430,True,Male
10024862,https://data.fei.org/Person/Performance.aspx?p=EF7038CA51F162E24F625AE93328DE8A,Constant Van Paesschen,1425,True,Male
10025020,https://data.fei.org/Person/Performance.aspx?p=C9D184DCD10B560B6C7601E9037019A9,Brian Cournane,1423,True,Male
10106732,https://data.fei.org/Person/Performance.aspx?p=FA38EC9E086261C93A02DA6427842658,Jack Whitaker,1423,True,Male
10003109,https://data.fei.org/Person/Performance.aspx?p=B73D047507E3C669A5EB85D764D8590C,Yuri Mansur,1410,True,Male
10021181,https://data.fei.org/Person/Performance.aspx?p=B68AF22638CA10703414D6CCC661F10E,Douglas Lindelöw,1405,True,Male
10018890,https://data.fei.org/Person/Performance.aspx?p=61E3F437981C91FE0EABD00A527F856E,Anthony Condon,1403,True,Male
10005015,https://data.fei.org/Person/Performance.aspx?p=8A5481639E04031CA340DA6064DDE507,Michael Jung,1398,True,Male
10022456,https://data.fei.org/Person/Performance.aspx?p=D434550C865A1716AE29D4C355DCF17E,Felicie Bertrand,1393,True,Female
