,Unnamed: 0,Foundername,ProfileURL,Inflation adjusted Amount,UID,image,gender,race,api,black,hispanic,white
3321,3543, Justin Barad,https://www.crunchbase.com/person/justin-barad,14000000.0,1164307544007926312,True,Male,white,0.06677892,0.007290811,0.2022869,0.72364336
3322,3544, Manish Garg,https://www.crunchbase.com/person/manish-garg,14000000.0,8419629178193833847,True,Male,white,0.006992521,0.028926194,0.022619387,0.94146186
3323,3545, Alex Plugaru,https://www.crunchbase.com/person/alex-plugaru,14000000.0,4994007149952803066,True,Male,white,0.005730692,0.04374376,0.0247514,0.92577416
3324,3546, Nick Scaglione,https://www.crunchbase.com/person/nick-scaglione-8bd2,14000000.0,6925145439191728950,True,Male,white,0.0047043967,0.04067503,0.019035958,0.9355846
3325,3547, Josh Scaglione,https://www.crunchbase.com/person/josh-scaglione,14000000.0,553054475632298849,True,Male,white,0.0053205728,0.04688241,0.021072717,0.92672426
3326,3548, Avinash Misra,https://www.crunchbase.com/person/avinash-misra,14000000.0,556290396333772297,True,Male,white,0.15850621,0.015187111,0.17986931,0.6464374
3327,3549, Anand Agarawala,https://www.crunchbase.com/person/anand-agarawala,14000000.0,4618148357960325576,True,Male,api,0.93079865,0.003746401,0.005843188,0.059611686
3328,3550, Alex Bouaziz,https://www.crunchbase.com/person/alex-bouaziz,14000000.0,5158244058294508878,True,Male,white,0.008733161,0.026979925,0.061256453,0.9030305
3329,3551, Brandon Werber,https://www.crunchbase.com/person/brandon-werber-2,14000000.0,3390175576220613107,True,Male,white,0.0028468028,0.016509943,0.016224213,0.964419
3330,3552, Alex Maffeo,https://www.crunchbase.com/person/alex-c-maffeo,14000000.0,1646828526413006237,True,Male,white,0.009870557,0.0092196185,0.015372174,0.9655377
3331,3553, Khaled Naim,https://www.crunchbase.com/person/khaled-naim,14000000.0,6347971978885255177,True,Male,white,0.31148145,0.06396966,0.01186454,0.6126844
3332,3554, Itzhak Assaraf,https://www.crunchbase.com/person/itzik-assaraf,14000000.0,1575682525824022889,True,Male,white,0.13131309,0.04744044,0.039714802,0.7815317
3333,3555, Brandon Gell,https://www.crunchbase.com/person/brandon-gell,14000000.0,3300759092662247434,True,Male,white,0.0030070192,0.07164547,0.019466076,0.90588146
3334,3557, Neel Krishna,https://www.crunchbase.com/person/neel-krishna,14000000.0,3319264261557337334,True,Male,white,0.371118,0.0048973854,0.026077978,0.5979067
3335,3558, Glen McCracken,https://www.crunchbase.com/person/glen-mccracken,14000000.0,64783549287794042,True,Male,white,0.0021801975,0.020505168,0.017021704,0.96029294
3336,3559, Kenji Cunnion,https://www.crunchbase.com/person/kenji-cunnion,14000000.0,4934233677115810277,True,Male,white,0.004218612,0.14971335,0.015449621,0.8306184
3337,3560, Onno Faber,https://www.crunchbase.com/person/onno-faber,14000000.0,5605795541124822265,True,Male,white,0.0032518646,0.019559253,0.012403153,0.9647857
3338,3561, Miles Romney,https://www.crunchbase.com/person/miles-romney,14000000.0,3597119117270578307,True,Male,white,0.003208239,0.10989991,0.017173277,0.8697186
3339,3562, Dimitry Shevchenko,https://www.crunchbase.com/person/dimitry-shevchenko,14000000.0,3332038718038032560,True,Male,white,0.003274498,0.0012082038,0.018903673,0.97661364
3340,3563, Mikel Cármenes Cavia,https://www.crunchbase.com/person/mikel-carmenes-cavia,14000000.0,7281982346060200686,True,Male,white,0.02705608,0.030724777,0.37409225,0.5681269
3341,3564, David Vetrano,https://www.crunchbase.com/person/david-vetrano,14000000.0,8810382960818413823,True,Male,white,0.050052796,0.0046628523,0.08280298,0.8624814
3342,3565, Nancy Yu,https://www.crunchbase.com/person/nancy-yu-f0b8,14000000.0,94449872134733469,True,Female,white,0.22062437,0.12537995,0.04361272,0.6103829
3343,3566, Ian White,https://www.crunchbase.com/person/i-white,14000000.0,8951412858221197077,True,Male,white,0.0048407204,0.040850267,0.011425,0.942884
3344,3567,Jeremy Andrus,https://www.crunchbase.com/person/jeremy-andrus,14000000.0,2264850116786384775,True,Male,white,0.00851014,0.16085738,0.024716515,0.80591595
3345,3568, Jinha Lee,https://www.crunchbase.com/person/jinha-lee-fa54,14000000.0,124975307230447164,True,Male,white,0.020264864,0.09873994,0.01605379,0.86494136
3346,3569, Nick Swinmurn,https://www.crunchbase.com/person/nick-swinmurn,14000000.0,1682911317314101913,True,Male,white,0.0014710039,0.051684093,0.017669221,0.9291757
3347,3570, Shuo Wang,https://www.crunchbase.com/person/shuo-wang-2,14000000.0,3544418351933152879,True,Female,api,0.96449274,0.0025166103,0.0031968667,0.029793797
3348,3571, Mahyar Raissi,https://www.crunchbase.com/person/mahyar-raissi,14000000.0,3651083876399473939,True,Male,white,0.25135756,0.047686353,0.0369875,0.6639687
3349,3573, Daryna Kulya,https://www.crunchbase.com/person/daryna-kulya-2428,14000000.0,490075250888004711,True,Female,white,0.02040425,0.005028114,0.015705913,0.95886177
3350,3574,Pete Flint,https://www.crunchbase.com/person/pete-flint,14000000.0,8717798469242253631,True,Male,white,0.0038936518,0.12534614,0.02185419,0.8489061
3351,3575, Kevin Cawley,https://www.crunchbase.com/person/kevin-cawley,14000000.0,3131574631271711467,True,Male,white,0.0045896443,0.0884295,0.017312685,0.88966817
3352,3576,Brianne Kimmel,https://www.crunchbase.com/person/brianne-kimmel,14000000.0,1490538745570836569,True,Female,white,0.0042472975,0.003519893,0.015842367,0.9763905
3353,3577, Dor Knafo,https://www.crunchbase.com/person/dor-knafo,14000000.0,346355815031442615,True,Male,white,0.0069796266,0.01095338,0.012047758,0.9700192
3354,3578, Ofer Simon,https://www.crunchbase.com/person/ofer-simon,14000000.0,2921068717172582209,True,Male,white,0.005828238,0.20734015,0.011666824,0.7751647
3355,3579, Chad Hurley,https://www.crunchbase.com/person/chad-hurley,14000000.0,3633909189491272050,True,Male,white,0.0064950013,0.11059194,0.025567433,0.8573456
3356,3581, Idan Tendler,https://www.crunchbase.com/person/idan-tendler,14000000.0,7295975844396060587,True,Male,white,0.0048007066,0.06945929,0.01743044,0.9083096
3357,3582, Ali Amin- Javaheri,https://www.crunchbase.com/person/ali-amin-javaheri,14000000.0,74127832773608851,True,Male,white,0.02481413,0.014543785,0.03529805,0.925344
3358,3583, Bret Larsen,https://www.crunchbase.com/person/bret-larsen,14000000.0,1083929210450762359,True,Male,white,0.002384195,0.0035400253,0.014773546,0.9793022
3359,3584, Gil Azrielant,https://www.crunchbase.com/person/gil-azrielant,14000000.0,7025694273770353235,True,Male,white,0.0042237034,0.20621392,0.014447504,0.7751149
3360,3585, Romain Lapeyre,https://www.crunchbase.com/person/romain-lapeyre,14000000.0,1343923913283513220,True,Male,white,0.0053973664,0.03410346,0.028369997,0.9321292
3361,3586, Ken Martin,https://www.crunchbase.com/person/ken-martin-1fd0,14000000.0,6357747322351532661,True,Male,white,0.002284656,0.06374456,0.029979125,0.9039917
3362,3587, Jeff Kramer,https://www.crunchbase.com/person/jeff-kramer-dfbe,14000000.0,871280640856335767,True,Male,white,0.008521624,0.015511129,0.025469959,0.95049727
3363,3588, Deric Frost,https://www.crunchbase.com/person/deric-frost,14000000.0,2120654262880178356,True,Male,white,0.002546064,0.030939449,0.020229105,0.94628537
3364,3589, Steve Chen,https://www.crunchbase.com/person/steve-chen-1f2a,14000000.0,7107054578355597560,True,Male,white,0.0033616116,0.26979265,0.02192492,0.7049208
3365,3590, Josh Kanner,https://www.crunchbase.com/person/josh-kanner,13969250.270116847,2294007232644741615,True,Male,white,0.0049205227,0.026512899,0.014551803,0.9540148
3366,3591, Daniela Luzi Tudor,https://www.crunchbase.com/person/daniela-luzi-tudor,13962982.539612072,6475556523860386003,True,Female,white,0.05063729,0.21710992,0.021669148,0.7105836
3367,3592, Jennifer Mallory,https://www.crunchbase.com/person/jennifer-mallory,13962982.539612072,7816058696664318261,True,Female,white,0.0043765265,0.16355734,0.015455107,0.8166111
3368,3593, Murphy Jensen,https://www.crunchbase.com/person/murphy-jensen,13962982.539612072,8658498357238393271,True,Male,white,0.0016071777,0.005146874,0.010926641,0.9823193
3369,3595, Ashley Dombkowski,https://www.crunchbase.com/person/ashley-dombkowski,13938852.1857121,1163729215648376689,True,Female,white,0.0012784665,0.00031351214,0.011764579,0.98664343
3370,3596, Jimmie Tyrrell,https://www.crunchbase.com/person/jimmie-tyrrell,13918819.126749896,3076661072572904976,True,Male,white,0.002866189,0.07996638,0.010008258,0.9071592
3371,3597, Rajeev Behera,https://www.crunchbase.com/person/rajeev-behera,13918819.126749896,2081841196787522521,True,Male,white,0.28614488,0.008911398,0.07655312,0.62839055
3372,3598, Erick Tai,https://www.crunchbase.com/person/erick-tai,13918819.126749896,5446510057602897984,True,Male,white,0.20106737,0.0044260984,0.046117116,0.7483894
3373,3599, Sam Lucente,https://www.crunchbase.com/person/sam-lucente,13914848.322867464,3834577948141493784,True,Male,white,0.025166022,0.008838307,0.42381543,0.5421803
3374,3600, Court Lorenzini,https://www.crunchbase.com/person/court-lorenzini,13914848.322867464,1597933706491868645,True,Male,white,0.0031128603,0.009896731,0.025937337,0.96105313
3375,3601, Ryan McLinko,https://www.crunchbase.com/person/ryan-mclinko,13914052.61219616,3181077911950776259,True,Male,white,0.0010161262,0.003241005,0.013242575,0.98250026
3376,3602, John Gedmark,https://www.crunchbase.com/person/john-gedmark-2,13914052.61219616,3523031745556489861,True,Male,white,0.0024322877,0.0307573,0.011533688,0.9552767
3377,3603, Hendrik Bartel,https://www.crunchbase.com/person/hendrik-bartel,13903798.27336757,698973442030122467,True,Male,white,0.016679173,0.03858816,0.13350324,0.8112294
3378,3604, Phil Kim,https://www.crunchbase.com/person/phil-kim-c519,13903798.27336757,3921222072533409558,True,Male,white,0.19688605,0.023119317,0.057208885,0.7227858
3379,3605, Michelle Davey,https://www.crunchbase.com/person/michelle-davey,13900000.0,3823090995851755439,True,Female,white,0.0045229546,0.070520334,0.02303906,0.90191764
3380,3606, Philip Johnson,https://www.crunchbase.com/person/philip-johnson-2,13900000.0,4472204657247643312,True,Male,white,0.0019535169,0.2304937,0.013818171,0.7537346
3381,3607, Griffin Mulcahey,https://www.crunchbase.com/person/griffin-mulcahey,13900000.0,8200302324257729844,True,Male,white,0.0034539942,0.07484145,0.024059309,0.89764524
3382,3608, Daniel Schreiber,https://www.crunchbase.com/person/daniel-schreiber-2,13882988.9266719,2430929611664000478,True,Male,white,0.004636576,0.0019523181,0.013389287,0.9800218
3383,3609, Nadav Shoval,https://www.crunchbase.com/person/nadav-shoval,13882988.9266719,2314153841508748517,True,Male,api,0.76136434,0.023055643,0.0140260495,0.20155399
