,Foundername,ProfileURL,Inflation adjusted Amount,UID,image,gender
501, Jim Broderick,https://www.crunchbase.com/person/jim-broderick,49634930.24896316,7551178988030761275,True,Male
502, Paul Crocker,https://www.crunchbase.com/person/paul-crocker,49634930.24896316,1973595983229925613,True,Male
503, Sarah Bettigole,https://www.crunchbase.com/person/sarah-bettigole,49584057.25508151,2951912345857205144,True,Female
504, Juan Cubillos-Ruiz,https://www.crunchbase.com/person/juan-cubillos-ruiz,49584057.25508151,9197187466268098803,True,Male
505, Laurie Glimcher,https://www.crunchbase.com/person/laurie-h-glimcher,49584057.25508151,8643352303387431710,True,Female
506, Luke Kervin,https://www.crunchbase.com/person/luke-kervin,49554378.7777902,3541703437385089193,True,Male
507, Travis Schneider,https://www.crunchbase.com/person/travis-schneider,49554378.7777902,3859160680674380713,True,Male
508, Wylie van den Akker,https://www.crunchbase.com/person/wylie-van-den-akker,49529450.39709085,3408690303364500770,True,Male
509, Adam Green,https://www.crunchbase.com/person/adam-green-9da2,49529450.39709085,443490334447823902,True,Male
510, Geoffrey von Maltzahn,https://www.crunchbase.com/person/geoffrey-von-maltzahn,49377181.04739253,1351474686318300245,True,Male
511, Jeffrey Hager,https://www.crunchbase.com/person/jeffrey-hager,49251206.14080732,3506929867530764140,True,Male
512, Yujiro S. Hata,https://www.crunchbase.com/person/yujiro-s-hata,49251206.14080732,5198088845093696656,True,Male
513, Dennis Wall,https://www.crunchbase.com/person/dennis-wall,49120457.32938903,746229266264096779,True,Male
514, Brent Vaughan,https://www.crunchbase.com/person/brent-vaughan,49120457.32938903,8729788783061520540,True,Male
515, Bradley Backes,https://www.crunchbase.com/person/bradley-backes,48814099.72544506,169936869079147847,True,Male
516, Dean Sheppard,https://www.crunchbase.com/person/dean-sheppard,48814099.72544506,8687784754060882259,True,Male
517, Hal Chapman,https://www.crunchbase.com/person/hal-chapman,48814099.72544506,1355881072242254250,True,Male
518, Bill DeGrado,https://www.crunchbase.com/person/bill-degrado,48814099.72544506,4549379709956195659,True,Male
519, Igor Bogicevic,https://www.crunchbase.com/person/igor-bogicevic,48814099.72544506,6618175306887264562,True,Male
520, Deniz Kural,https://www.crunchbase.com/person/deniz-kural,48814099.72544506,6543439531481348715,True,Male
521, Clinton Phillips,https://www.crunchbase.com/person/clinton-phillips,48616382.41924851,5217843214743560597,True,Male
522, Ted Schroeder,https://www.crunchbase.com/person/ted-schroeder-2,48604807.41773471,5379215397164480276,True,Male
523, Bobby Johnson,https://www.crunchbase.com/person/bobby-johnson,48306576.23598514,5708428794287277657,True,Male
524, Ann Johnson,https://www.crunchbase.com/person/ann-johnson-2,48306576.23598514,7641577069695428373,True,Female
525, Lior Abraham,https://www.crunchbase.com/person/lior-abraham,48306576.23598514,5224401642449077593,True,Male
526, Susan Dillon,https://www.crunchbase.com/person/susan-dillon,48000000.0,8845734934993412602,True,Female
527, Karyn O’Neil,https://www.crunchbase.com/person/karyn-o-neil,48000000.0,6758331571361246398,True,Female
528, Jonathan Thon,https://www.crunchbase.com/person/jonathan-thon,47957910.76606596,8159248925935599098,True,Male
529, Sven Karlsson,https://www.crunchbase.com/person/sven-karlsson,47957910.76606596,9208522065147536994,True,Male
530, Joseph Italiano,https://www.crunchbase.com/person/joseph-italiano,47957910.76606596,5772569526747801410,True,Male
531, Anthony Katz,https://www.crunchbase.com/person/anthony-katz-2,47800000.0,7370507057852024901,True,Male
532, David Mindell,https://www.crunchbase.com/person/david-mindell-2,47447170.55512279,6456416517277342145,True,Male
533, Gary Cohen,https://www.crunchbase.com/person/gary-cohen-5,47447170.55512279,8532179896798286971,True,Male
534, Yi Tang,https://www.crunchbase.com/person/yi-tang-6936,47000000.0,1614039135337339533,True,Male
535, Brian Naughton,https://www.crunchbase.com/person/brian-naughton-4403,47000000.0,2542130324839545568,True,Male
536, Maureen Hillenmeyer,https://www.crunchbase.com/person/maureen-hillenmeyer,47000000.0,4161184222681320707,True,Female
537, Andrew Leto,https://www.crunchbase.com/person/andrew-leto,46833710.34528542,3593871674841470430,True,Male
538, Jim Castelaz,https://www.crunchbase.com/person/jim-castelaz,46750680.20732282,7835784315135526212,True,Male
539, Jim O’Mara,https://www.crunchbase.com/person/jim-o-mara,46695848.98352747,7958599256095797087,True,Male
540, Cyril De Colle,https://www.crunchbase.com/person/cyril-de-colle,46695848.98352747,1260621749377765612,True,Male
541, Saswati Chatterjee,https://www.crunchbase.com/person/saswati-chatterjee,46574510.15489388,3077082622755443575,True,Female
542, Laura Smith,https://www.crunchbase.com/person/laura-smith-5,46574510.15489388,3549265580081503586,True,Female
543, Dr. Izhar Wallach,https://www.crunchbase.com/person/dr-izhar-wallach,46380182.24512531,8339177457513137751,True,Male
544, Alexander Levy,https://www.crunchbase.com/person/alexander-levy,46380182.24512531,4081410076722800513,True,Male
545, Colleen Delaney,https://www.crunchbase.com/person/colleen-delaney,46357608.97937876,9036431255941252862,True,Female
546, Ryan Wuerch,https://www.crunchbase.com/person/ryan-wuerch,46196546.74191567,4348472778969128698,True,Male
547, Giovanni Coglitore,https://www.crunchbase.com/person/giovanni-coglitore,46196546.74191567,8831319133219574455,True,Male
548, Shelia Violette,https://www.crunchbase.com/person/shelia-violette,46000000.0,287700659549597844,True,Female
549, Jonathan Montagu,https://www.crunchbase.com/person/jonathan-montagu,45928906.45460823,5368101725116486246,True,Male
550, Dawn Song,https://www.crunchbase.com/person/dawn-song,45928906.45460823,5048377483102899575,True,Female
551, Raymond Cheng,https://www.crunchbase.com/person/raymond-cheng,45928906.45460823,3823828307500612146,True,Male
552, Bobby Jaros,https://www.crunchbase.com/person/bobby-jaros,45928906.45460823,6736232363995942300,True,Male
553, Noah Johnson,https://www.crunchbase.com/person/noah-johnson-5b7c,45928906.45460823,871594958168069043,True,Male
554, Geraldine Harriman,https://www.crunchbase.com/person/geraldine-harriman,45928906.45460823,293992787623818466,True,Female
555, Mina Rezk,https://www.crunchbase.com/person/mina-rezk,45769262.7083457,7652138393786309380,True,Male
556, Soroush Salehian,https://www.crunchbase.com/person/soroush-salehian,45769262.7083457,5658020877771398210,True,Male
557, Gary Vaynerchuk,https://www.crunchbase.com/person/gary-vaynerchuk,45544348.31307987,4241776061693026061,True,Male
558, Ben Leventhal,https://www.crunchbase.com/person/ben-leventhal,45544348.31307987,9130224854947114365,True,Male
559, Michael Montero,https://www.crunchbase.com/person/michael-montero,45544348.31307987,2928649839047142638,True,Male
560, Pradeep Sindhu,https://www.crunchbase.com/person/pradeep-sindhu-3,45501386.20687875,8747936977632351183,True,Male
561, Bertrand Serlet,https://www.crunchbase.com/person/bertrand-serlet,45501386.20687875,1438453683793851493,True,Male
562, Pratik Shah,https://www.crunchbase.com/person/pratik-shah-7798,45500246.0,5894893038076188194,True,Male
563, Aseem Ansari,https://www.crunchbase.com/person/aseem-ansari,45500246.0,496420229466002692,True,Male
564, Yun Zhang,https://www.crunchbase.com/person/yun-zhang-8769,45436689.54996186,3164383543950109389,True,Male
565, Dave Crosby,https://www.crunchbase.com/person/dave-crosby,45436689.54996186,6371866942181654167,True,Male
566, Dongsheng Song,https://www.crunchbase.com/person/dongsheng-song,45436689.54996186,4425043206357570154,True,Male
567, Elana Fishman,https://www.crunchbase.com/person/elana-fishman,45436689.54996186,3787043194531270133,True,Female
568, Prasanna Sankar,https://www.crunchbase.com/person/prasanna-sankar,45292312.99012319,7043782522548058139,True,Male
569, Parker Conrad,https://www.crunchbase.com/person/parker-conrad,45292312.99012319,6106135114868935791,True,Male
570, Piyush Desai,https://www.crunchbase.com/person/piyush-desai,45241290.47748773,3007503225110327758,True,Male
571,Tony Fadell,https://www.crunchbase.com/person/tony-fadell,45241290.47748773,7626626402320206261,True,Male
572, Mark Johnston,https://www.crunchbase.com/person/mark-johnston-460e,45241290.47748773,4625081718627300952,True,Male
573, David Pompliano,https://www.crunchbase.com/person/david-pompliano,45089646.64442679,4371489920561610410,True,Male
574, Ofer Herman,https://www.crunchbase.com/person/ofer-herman,45000000.0,3434093286038389660,True,Male
575, Eynat Guez,https://www.crunchbase.com/person/eynat-guez,45000000.0,4510334048093677576,True,Female
576, Neil Hallimen,https://www.crunchbase.com/person/neil-hallimen,45000000.0,2567738546304647543,True,Male
577, Ruben Drong,https://www.crunchbase.com/person/ruben-drong,45000000.0,1407287518769820015,True,Male
578, Gregg Lehrman,https://www.crunchbase.com/person/gregg-lehrman,45000000.0,637621549481402622,True,Male
579, Deborah Charych,https://www.crunchbase.com/person/deborah-charych,45000000.0,6614786747380212700,True,Female
580, Neil Carson,https://www.crunchbase.com/person/neil-carson,44883329.49957565,2607335297807178630,True,Male
581, Jim Dawson,https://www.crunchbase.com/person/jim-dawson,44883329.49957565,7803520892846961520,True,Male
582, Jamie Glenn,https://www.crunchbase.com/person/jamie-glenn,44541306.37099534,1905708710875575338,True,Male
583, Karan Sakhuja,https://www.crunchbase.com/person/karan-sakhuja,44541306.37099534,8014857678898897351,True,Male
584, Sean Black,https://www.crunchbase.com/person/sean-black,44541306.37099534,8082176303384776953,True,Male
585, James McLaughlin,https://www.crunchbase.com/person/james-mclaughlin,44316902.008002825,6977624123323581704,True,Male
586, Jennifer Doudna,https://www.crunchbase.com/person/jennifer-a-doudna,44228485.06947863,1564547199958914861,True,Female
587, Daniel Levangie,https://www.crunchbase.com/person/daniel-levangie,44000000.0,7425625319795693275,True,Male
588, Adel Malek,https://www.crunchbase.com/person/adel-malek,44000000.0,8194987262121888498,True,Male
589, Patrick Sullivan,https://www.crunchbase.com/person/patrick-sullivan-2,44000000.0,2255176765781758485,True,Male
590, Carl Heilman,https://www.crunchbase.com/person/carl-heilman,44000000.0,2785653417489481571,True,Male
591, Gerhard Koenig,https://www.crunchbase.com/person/gerhard-koenig,44000000.0,1629130602271674843,True,Male
592, Derrick Rossi,https://www.crunchbase.com/person/derrick-rossi,43938882.53241801,8967144848349578130,True,Male
593, Roman Perez-Soler,https://www.crunchbase.com/person/roman-perez-soler,43938882.53241801,310249374947773852,True,Male
594, Amit Verma,https://www.crunchbase.com/person/amit-verma-6d22,43938882.53241801,6429246033107300728,True,Male
595, Ulrich Steidl,https://www.crunchbase.com/person/ulrich-steidl,43938882.53241801,8641373833308002774,True,Male
596, Evripidis Gavathiotis,https://www.crunchbase.com/person/evripidis-gavathiotis,43938882.53241801,1809560979360373838,True,Male
597, Sophie Pinkard,https://www.crunchbase.com/person/sophie-pinkard,43380226.91466691,5946022124330594425,True,Female
598, Seth Cohen,https://www.crunchbase.com/person/seth-cohen-dae4,43380226.91466691,7017827027575805388,True,Male
599, Midori Uehara,https://www.crunchbase.com/person/midori-uehara,43380226.91466691,8814318479095903031,True,Female
600, Usama Fayyad,https://www.crunchbase.com/person/usama-fayyad,43380226.91466691,3092823251275885993,True,Male
601, Anshul Amar,https://www.crunchbase.com/person/anshul-amar,43380226.91466691,7812106898345751627,True,Male
602, Julie Skaff,https://www.crunchbase.com/person/julie-skaff,43380226.91466691,3604993400578777508,True,Female
603, Blake Scholl,https://www.crunchbase.com/person/blake-scholl,43254654.41076945,183903814112104420,True,Male
604, Joe Wilding,https://www.crunchbase.com/person/joe-wilding,43254654.41076945,1874114766646753214,True,Male
605, Joshua Krall,https://www.crunchbase.com/person/josh-krall,43254654.41076945,8596071670259364248,True,Male
606, Christian Mueller,https://www.crunchbase.com/person/christian-mueller-94bf,43241657.27889017,3354661207353635984,True,Male
607, John Reilly,https://www.crunchbase.com/person/john-reilly-4,43241657.27889017,1204655808589941733,True,Male
608, Peter Yared,https://www.crunchbase.com/person/peter-yared,43175388.51180945,7887852700426448572,True,Male
609, Mikhail Kokorich,https://www.crunchbase.com/person/mikhail-kokorich,43128919.61804183,5264438673225192676,True,Male
610, Eric Breon,https://www.crunchbase.com/person/eric-breon,42953815.54035861,5336331400374437866,True,Male
611, Cliff Johnson,https://www.crunchbase.com/person/cliff-johnson,42953815.54035861,7998471464334195070,True,Male
612, Paul Birkmeyer,https://www.crunchbase.com/person/paul-birkmeyer,42896018.9222346,4071017605121065495,True,Male
613, Andrew Miller,https://www.crunchbase.com/person/andrew-miller-6,42843178.15868585,1977195284583584850,True,Male
614, Jeffrey Galitz,https://www.crunchbase.com/person/jeffrey-galitz,42716889.00514431,6808021219931194315,True,Male
615, George Pollack,https://www.crunchbase.com/person/george-pollack,42716889.00514431,6234586734667280246,True,Male
617, GEORGE NG,https://www.crunchbase.com/person/george-ng-3,42614444.05785577,5658837089563737631,True,Male
618, Arvind Parthasarathi,https://www.crunchbase.com/person/arvind-parthasarathi,42614444.05785577,1474303920406361563,True,Male
619, David Kelso,https://www.crunchbase.com/person/david-kelso,42574320.66646155,543522809206563778,True,Male
620, Ian McHenry,https://www.crunchbase.com/person/ian-mchenry,42574320.66646155,8737838566100441409,True,Male
621, Bill Dollins,https://www.crunchbase.com/person/bill-dollins,42500000.0,9162558060585357850,True,Male
622, James Fee,https://www.crunchbase.com/person/james-fee,42500000.0,8581903954576397381,True,Male
623, Anthony Quartararo,https://www.crunchbase.com/person/tony-quartararo,42500000.0,6617509135724839335,True,Male
624, Barry Beckner,https://www.crunchbase.com/person/barry-beckner,42500000.0,1513084525246079573,True,Male
625, Henrik Orum,https://www.crunchbase.com/person/henrik-orum,42366835.6400743,7558137834659406951,True,Male
626, Kevin Gough,https://www.crunchbase.com/person/kevin-gough,42074888.35451736,2526799618291604954,True,Male
627, Tim Springer,https://www.crunchbase.com/person/tim-springer,42074888.35451736,409075137348435042,True,Male
628, Doug Aley,https://www.crunchbase.com/person/doug-aley,42074888.35451736,3468867540729656874,True,Male
629, Ethan Kurzweil,https://www.crunchbase.com/person/ethan-kurzweil,42074888.35451736,2166257568546009094,True,Male
630, Jeff Denworth,https://www.crunchbase.com/person/jeff-denworth,42051527.0691021,6889987361143327990,True,Male
631, Shachar Fienblit,https://www.crunchbase.com/person/shachar-fienblit,42051527.0691021,7052008926314055925,True,Male
632, Renen Hallak,https://www.crunchbase.com/person/renen-hallak,42051527.0691021,8703271213717563411,True,Male
633, Bhavin Shah,https://www.crunchbase.com/person/bhavin-shah,42019986.81587574,5943457326345299988,True,Male
634, Branden S. Moriarity,https://www.crunchbase.com/person/branden-s-moriarity,42000000.0,5071907462118096244,True,Male
635, Kevin Pojasek,https://www.crunchbase.com/person/kevin-pojasek-c8f1,42000000.0,569721210996964115,True,Male
636, Kasper Roet,https://www.crunchbase.com/person/kasper-oetr-roet,42000000.0,5064458144716401584,True,Male
637, Kevin Eggan,https://www.crunchbase.com/person/kevin-eggan,42000000.0,3958270121477964982,True,Male
638, Vishal Garg,https://www.crunchbase.com/person/vishal-garg,41855948.95442799,5563349927173100863,True,Male
639, Joseph Chen,https://www.crunchbase.com/person/joseph-chen,41849160.08238456,5292169367622761499,True,Male
640, Trae Stephens,https://www.crunchbase.com/person/trae-stephens,41849160.08238456,2896345848158342416,True,Male
641, Matt Grimm,https://www.crunchbase.com/person/matt-grimm-3,41849160.08238456,8705757701918327820,True,Male
642, Brian Schimpf,https://www.crunchbase.com/person/brian-schimpf,41849160.08238456,6509221203418948796,True,Male
643, Palmer Luckey,https://www.crunchbase.com/person/palmer-luckey,41849160.08238456,3173078316961394598,True,Male
644, Eric Olson,https://www.crunchbase.com/person/eric-olson-8,41709010.86070808,7692389412266086333,True,Male
646, Isabel Aznarez,https://www.crunchbase.com/person/isabel-aznarez,41507421.31869108,7596587926728323748,True,Female
647, Edward Kaye,https://www.crunchbase.com/person/edward-kaye,41507421.31869108,4396666643597577009,True,Male
648, Mark Kotter,https://www.crunchbase.com/person/mark-kotter,41500000.0,1503274082001535284,True,Male
649, Tom Estok,https://www.crunchbase.com/person/tom-estok,41226828.66233361,3893513095902444592,True,Male
650, Ferruh Mavituna,https://www.crunchbase.com/person/ferruh-mavituna,41226828.66233361,810869567317357376,True,Male
651, Bruce Bauer,https://www.crunchbase.com/person/bruce-bauer,41226828.66233361,6575756110477300870,True,Male
652, Pankaj Pasricha,https://www.crunchbase.com/person/pankaj-pasricha,40987982.82209592,1023928625602509375,True,Male
653, Frank Steinberg,https://www.crunchbase.com/person/frank-steinberg,40987982.82209592,2209984023751786216,True,Male
654, Samuel Browd,https://www.crunchbase.com/person/samuel-browd,40982754.73940354,5227021091687500053,True,Male
655, Christopher Thompson,https://www.crunchbase.com/person/christopher-thompson,40901149.85033385,4164175571951803573,True,Male
657, Marcus Boehm,https://www.crunchbase.com/person/marcus-boehm,40893524.33343404,2842993303285263973,True,Male
658, Robert A. Copeland,https://www.crunchbase.com/person/robert-a-copeland,40893524.33343404,1801569355264690788,True,Male
659, Alain D. Baron,https://www.crunchbase.com/person/alain-d-baron,40893524.33343404,8780368033847699870,True,Male
660, Jyoti Bansal,https://www.crunchbase.com/person/jyoti-bansal,40855012.70964839,8652554586789504432,True,Male
661, Jonathan Yaney,https://www.crunchbase.com/person/jonathan-yaney,40828448.86086298,4552302696115745071,True,Male
662, TJ Lutz,https://www.crunchbase.com/person/tj-lutz,40820511.19275665,1034860411284760281,True,Male
663, John Novak,https://www.crunchbase.com/person/john-novak-dd6b,40820511.19275665,4957141049070011155,True,Male
664, Daniel Fischetti,https://www.crunchbase.com/person/daniel-fischetti,40820511.19275665,3105767742008650810,True,Male
665, David Valdman,https://www.crunchbase.com/person/david-valdman,40820511.19275665,8226918137355616286,True,Male
666, Jordan Fisher,https://www.crunchbase.com/person/jordan-fisher-2,40820511.19275665,1056810599694540052,True,Male
667, Michael Suswal,https://www.crunchbase.com/person/michael-suswal,40820511.19275665,4814636740675196551,True,Male
668, Brandon Ogle,https://www.crunchbase.com/person/brandon-ogle,40820511.19275665,1727435250993701079,True,Male
669, Don Burnette,https://www.crunchbase.com/person/don-burnette,40803026.81779605,7798199741944083863,True,Male
670, Paz Eshel,https://www.crunchbase.com/person/paz-eshel,40803026.81779605,8894578143289402992,True,Male
671, Steve Arkinstall,https://www.crunchbase.com/person/steve-arkinstall,40469735.78572381,2159347060988849241,True,Male
