,UID,URL,Name,Score,image
1205,10077956,https://data.fei.org/Person/Performance.aspx?p=4F11984ABEDE27B4801514B2F59E163A,Cathrine Jerring,80,TRUE
1206,10071086,https://data.fei.org/Person/Performance.aspx?p=29D178692020FF0DBFBB7CF41E961595,Sára Hollé,80,TRUE
1207,10073182,https://data.fei.org/Person/Performance.aspx?p=364378C2F174F2A4D928DE5943BB0AE,Miriam Schneider,80,TRUE
1208,10073898,https://data.fei.org/Person/Performance.aspx?p=3EEC4E772A99ADFB2D891A35C45756DB,Brady Hayes,80,TRUE
1209,10073472,https://data.fei.org/Person/Performance.aspx?p=C105170D3461BEDEC75F14675B46BE1E,Bart Van Der Maat,80,TRUE
1210,10093855,https://data.fei.org/Person/Performance.aspx?p=D67439C3F49B6B066E67723AFDF015CA,Killian Norris,80,TRUE
1211,10094017,https://data.fei.org/Person/Performance.aspx?p=EFD34902D95A006342444C3DAF83E8AC,Michele Ruth,80,TRUE
1212,10106027,https://data.fei.org/Person/Performance.aspx?p=FBFB620E5A06762D4D6EA864B8420382,Christopher Megahey,80,TRUE
1213,10098807,https://data.fei.org/Person/Performance.aspx?p=ABF07BF188F22582AEC8A3E976834DEA,Marek Klus,80,TRUE
1214,10151002,https://data.fei.org/Person/Performance.aspx?p=E0079E67F5C1E00D931682934F5C6D73,Mariana Michlickova,80,TRUE
1215,10200912,https://data.fei.org/Person/Performance.aspx?p=7BCAA0D40B92CC40147801456E975459,Michael Burnett,80,TRUE
1216,10097324,https://data.fei.org/Person/Performance.aspx?p=63AB6A252D9832C3048A1087F50EBAB5,Lauren Fischer,78,TRUE
1217,10045092,https://data.fei.org/Person/Performance.aspx?p=2ACCE7B2EA0D5762FFAD15FCD69BD4B4,Maiju Mallat,78,TRUE
1218,10059620,https://data.fei.org/Person/Performance.aspx?p=3D6A8E3845FCB991A0D47CAA7FFC5810,Mohamed Shafi Mohamed Alremeithi,78,TRUE
